team,pick_year,round,expected_pick_number,protection_note,strength_rank,ev_points,years_out,discount_factor,pv_ev_points
Atlanta Hawks,2026,1,23,"More favorable of (i) less favorable of ATL and SAN and (ii) less favorable of (a) CLE and (b) more favorable of UTH 1-8 and MIN then less favorable of (i) and (ii) to CLE; more favorable of ATL and SAN to SAN (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE; via SAN swap for ATL; via ATL swap of ATL or SAN for CLE, UTH or MIN); More favorable of NOP and MIL (via NOP swap for MIL)",23,22.75862068965517,0,1.0,22.75862068965517
Atlanta Hawks,2026,2,53,"More favorable of (i) ATL and (ii) less favorable of (a) LAC and (b) most favorable of BOS, IND and MIA to BRK then less favorable of (i) and (ii) to DEN (via ATL to GOS to BRK; via MIA to IND to MIL to MEM; via LAC to HOU to BRK; via BRK to DEN); Less favorable of (i) BOS and (ii) more favorable of IND and MIA (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via BOS to ATL)",23,11.1864406779661,0,1.0,11.1864406779661
Atlanta Hawks,2027,1,23,To SAN; Less favorable of MIL and NOP if either or both 5-30 (via NOP),23,22.75862068965517,1,0.9090909090909091,20.68965517241379
Atlanta Hawks,2027,2,53,Own (via BOS to MEM to POR),23,11.1864406779661,1,0.9090909090909091,10.169491525423727
Atlanta Hawks,2028,1,23,More favorable of (i) ATL and (ii) less favorable of UTH and CLE then least favorable of all to CLE (via UTH swap for CLE; via ATL swap for UTH or CLE),23,22.75862068965517,2,0.8264462809917354,18.80877742946708
Atlanta Hawks,2028,2,53,To BRK (via GOS),23,11.1864406779661,2,0.8264462809917354,9.24499229583975
Atlanta Hawks,2029,1,23,Own,23,22.75862068965517,3,0.7513148009015775,17.0988885722428
Atlanta Hawks,2029,2,53,More favorable of ATL and MIA to CHA then other to OKC (via OKC); CLE,23,11.1864406779661,3,0.7513148009015775,8.40453845076341
Atlanta Hawks,2030,1,23,Own,23,22.75862068965517,4,0.6830134553650705,15.544444156584362
Atlanta Hawks,2030,2,53,Own; NYK (via POR),23,11.1864406779661,4,0.6830134553650705,7.640489500694009
Atlanta Hawks,2031,1,23,Own,23,22.75862068965517,5,0.6209213230591549,14.131312869622146
Atlanta Hawks,2031,2,53,Own or swap for HOU 31-55,23,11.1864406779661,5,0.6209213230591549,6.945899546085461
Atlanta Hawks,2032,1,23,Own,23,22.75862068965517,6,0.5644739300537772,12.84664806329286
Atlanta Hawks,2032,2,53,Own; LAL,23,11.1864406779661,6,0.5644739300537772,6.314454132804965
Boston Celtics,2026,1,25,Own,25,21.29032258064516,0,1.0,21.29032258064516
Boston Celtics,2026,2,55,"Less favorable of (i) BOS and (ii) more favorable of IND and MIA to ATL then most favorable of all to MEM or to BRK (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via BOS to ATL; via LAC to HOU to BRK); Most favorable of DET, MIL and ORL (via MIL to ORL; via DET to LAC to ORL)",25,10.819672131147541,0,1.0,10.819672131147541
Boston Celtics,2027,1,25,Own,25,21.29032258064516,1,0.9090909090909091,19.354838709677416
Boston Celtics,2027,2,55,More favorable of BOS and ORL to UTH then other to CHA (via BOS to ORL to BOS; via ORL to CHA),25,10.819672131147541,1,0.9090909090909091,9.836065573770492
