team,total_value,pick_asset_value,total_capital_proxy
Oklahoma City Thunder,47461.89996641879,216.57304299295762,47678.47300941175
Minnesota Timberwolves,39781.800549089974,216.57304299295762,39998.373592082935
Cleveland Cavaliers,39325.98028207203,216.57304299295762,39542.55332506499
Los Angeles Clippers,36022.43987968569,216.57304299295762,36239.01292267865
Houston Rockets,35856.83027628815,216.57304299295762,36073.40331928111
Boston Celtics,34583.58031463628,216.57304299295762,34800.15335762924
New York Knicks,32548.23005156225,216.57304299295762,32764.803094555205
Atlanta Hawks,31754.720223814304,216.57304299295762,31971.29326680726
Golden State Warriors,30555.380245080272,216.57304299295762,30771.95328807323
Denver Nuggets,28738.30038304632,216.57304299295762,28954.873426039278
Los Angeles Lakers,27960.070349708247,216.57304299295762,28176.643392701204
San Antonio Spurs,27369.03002610807,216.57304299295762,27585.603069101027
Toronto Raptors,27219.17005580669,216.57304299295762,27435.74309879965
Phoenix Suns,27200.3201113679,216.57304299295762,27416.893154360856
Detroit Pistons,25700.95033689779,216.57304299295762,25917.523379890747
Miami Heat,25200.770290836736,216.57304299295762,25417.343333829693
Orlando Magic,24079.350170433572,216.57304299295762,24295.92321342653
Philadelphia 76ers,24077.670216709404,216.57304299295762,24294.24325970236
Portland Trail Blazers,22687.530310183814,216.57304299295762,22904.10335317677
Charlotte Hornets,22131.630084266937,216.57304299295762,22348.203127259894
Milwaukee Bucks,18692.90053665643,216.57304299295762,18909.473579649388
Chicago Bulls,17638.40020030182,216.57304299295762,17854.97324329478
Memphis Grizzlies,17336.95014929031,216.57304299295762,17553.523192283268
New Orleans Pelicans,16858.440275818153,216.57304299295762,17075.01331881111
Dallas Mavericks,16183.250426612847,216.57304299295762,16399.823469605806
Indiana Pacers,13790.410281986042,216.57304299295762,14006.983324978999
Brooklyn Nets,12296.040293276352,216.57304299295762,12512.613336269309
Utah Jazz,10105.950256228478,216.57304299295762,10322.523299221435
Sacramento Kings,8531.70027467987,216.57304299295762,8748.273317672827
Washington Wizards,3526.320257484954,216.57304299295762,3742.8933004779115
