team,total_value
Oklahoma City Thunder,47461.89996641879
Minnesota Timberwolves,39781.800549089974
Cleveland Cavaliers,39325.980282072036
Los Angeles Clippers,36022.43987968569
Houston Rockets,35856.83027628815
Boston Celtics,34583.58031463628
New York Knicks,32548.23005156225
Atlanta Hawks,31754.720223814304
Golden State Warriors,30555.380245080272
Denver Nuggets,28738.30038304632
Los Angeles Lakers,27960.070349708247
San Antonio Spurs,27369.03002610807
Toronto Raptors,27219.17005580669
Phoenix Suns,27200.3201113679
Detroit Pistons,25700.95033689779
Miami Heat,25200.770290836736
Orlando Magic,24079.350170433572
Philadelphia 76ers,24077.670216709404
Portland Trail Blazers,22687.530310183814
Charlotte Hornets,22131.630084266937
Milwaukee Bucks,18692.90053665643
Chicago Bulls,17638.40020030182
Memphis Grizzlies,17336.95014929031
New Orleans Pelicans,16858.440275818153
Dallas Mavericks,16183.250426612847
Indiana Pacers,13790.410281986042
Brooklyn Nets,12296.040293276352
Utah Jazz,10105.950256228478
Sacramento Kings,8531.70027467987
Washington Wizards,3526.320257484954
