team,pick_year,round,expected_pick_number,protection_note
Atlanta Hawks,2026,1,,"More favorable of (i) less favorable of ATL and SAN and (ii) less favorable of (a) CLE and (b) more favorable of UTH 1-8 and MIN then less favorable of (i) and (ii) to CLE; more favorable of ATL and SAN to SAN (via UTH swap for MIN; via UTH swap of UTH or MIN for CLE; via SAN swap for ATL; via ATL swap of ATL or SAN for CLE, UTH or MIN); More favorable of NOP and MIL (via NOP swap for MIL)"
Atlanta Hawks,2026,2,,"More favorable of (i) ATL and (ii) less favorable of (a) LAC and (b) most favorable of BOS, IND and MIA to BRK then less favorable of (i) and (ii) to DEN (via ATL to GOS to BRK; via MIA to IND to MIL to MEM; via LAC to HOU to BRK; via BRK to DEN); Less favorable of (i) BOS and (ii) more favorable of IND and MIA (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via BOS to ATL)"
Atlanta Hawks,2027,1,,To SAN; Less favorable of MIL and NOP if either or both 5-30 (via NOP)
Atlanta Hawks,2027,2,,Own (via BOS to MEM to POR)
Atlanta Hawks,2028,1,,More favorable of (i) ATL and (ii) less favorable of UTH and CLE then least favorable of all to CLE (via UTH swap for CLE; via ATL swap for UTH or CLE)
Atlanta Hawks,2028,2,,To BRK (via GOS)
Atlanta Hawks,2029,1,,Own
Atlanta Hawks,2029,2,,More favorable of ATL and MIA to CHA then other to OKC (via OKC); CLE
Atlanta Hawks,2030,1,,Own
Atlanta Hawks,2030,2,,Own; NYK (via POR)
Atlanta Hawks,2031,1,,Own
Atlanta Hawks,2031,2,,Own or swap for HOU 31-55
Atlanta Hawks,2032,1,,Own
Atlanta Hawks,2032,2,,Own; LAL
Boston Celtics,2026,1,,Own
Boston Celtics,2026,2,,"Less favorable of (i) BOS and (ii) more favorable of IND and MIA to ATL then most favorable of all to MEM or to BRK (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via BOS to ATL; via LAC to HOU to BRK); Most favorable of DET, MIL and ORL (via MIL to ORL; via DET to LAC to ORL)"
Boston Celtics,2027,1,,Own
Boston Celtics,2027,2,,More favorable of BOS and ORL to UTH then other to CHA (via BOS to ORL to BOS; via ORL to CHA)
Boston Celtics,2028,1,,1-30 Own; 2-30 Own or SAN (via SAN swap for BOS)
Boston Celtics,2028,2,,31-45 to SAN if BOS 1 in 2028; 46-60 to NYK (via ORL to PHX)
