Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player-additional
1,Stephen Curry,Golden State Warriors,$59606817,$62587158,,,,,$122193975,curryst01
2,Joel Embiid,Philadelphia 76ers,$55224526,$58100000,$62748000,$67396000,,,$176072526,embiijo01
3,Nikola Jokic,Denver Nuggets,$55224526,$59033114,$62841702,,,,$114257640,jokicni01
4,Kevin Durant,Houston Rockets,$54708609,$43902439,$46097561,,,,$98611048,duranke01
5,Jayson Tatum,Boston Celtics,$54126450,$58456566,$62786682,$67116798,$71446914,,$242486496,tatumja01
6,Giannis Antetokounmpo,Milwaukee Bucks,$54126450,$58456566,$62786682,,,,$112583016,antetgi01
7,Anthony Davis,Dallas Mavericks,$54126450,$58456566,$62786682,,,,$112583016,davisan02
8,Jimmy Butler,Golden State Warriors,$54126450,$56832773,,,,,$110959223,butleji01
9,Damian Lillard,Milwaukee Bucks,$68230450,$13398800,$14104000,,,,$54126450,lillada01
10,Bradley Beal,Los Angeles Clippers,$59020270,$5621700,,,,,$53666270,bealbr01
11,Jaylen Brown,Boston Celtics,$53142264,$57078728,$61015192,$64951656,,,$236187840,brownja02
12,Devin Booker,Phoenix Suns,$53142264,$57078728,$61015192,$64065952,$69191228,,$235302136,bookede01
13,Karl-Anthony Towns,New York Knicks,$53142264,$57078728,$61015192,,,,$110220992,townska01
14,LeBron James,Los Angeles Lakers,$52627153,,,,,,$52627153,jamesle01
15,Paul George,Philadelphia 76ers,$51666090,$54126380,$56586670,,,,$105792470,georgpa01
16,Kawhi Leonard,Los Angeles Clippers,$50000000,$50300000,,,,,$100300000,leonaka01
17,Zach LaVine,Sacramento Kings,$47499660,$48967380,,,,,$47499660,lavinza01
18,Cade Cunningham,Detroit Pistons,$46394100,$50105628,$53817156,$57528684,$61240212,,$269085780,cunnica01
19,Evan Mobley,Cleveland Cavaliers,$46394100,$50105628,$53817156,$57528684,$61240212,,$269085780,mobleev01
20,Jamal Murray,Denver Nuggets,$46394100,$50105628,$53817156,$57528684,,,$207845568,murraja01
21,Lauri Markkanen,Utah Jazz,$46394100,$46113154,$49824681,$53536209,,,$195868144,markkla01
22,Donovan Mitchell,Cleveland Cavaliers,$46394100,$50105628,$53817156,,,,$96499728,mitchdo01
23,Luka Doncic,Los Angeles Lakers,$45999660,$49800000,$53784000,$57768000,,,$149583660,doncilu01
24,Trae Young,Washington Wizards,$45999660,$48967380,,,,,$45999660,youngtr01
25,Anthony Edwards,Minnesota Timberwolves,$45550512,$48924624,$52298736,$55672848,,,$202446720,edwaran01
26,Tyrese Haliburton,Indiana Pacers,$45550512,$48924624,$52298736,$55672848,,,$202446720,halibty01
27,Pascal Siakam,Indiana Pacers,$45550512,$48924624,$52298736,,,,$146773872,siakapa01
28,Domantas Sabonis,Sacramento Kings,$42336000,$45472000,$48608000,,,,$136416000,sabondo01
29,OG Anunoby,New York Knicks,$39568966,$42500000,$45431034,$48362068,,,$127500000,anunoog01
30,Zion Williamson,New Orleans Pelicans,$39446090,$42166510,$44886930,,,,$126499530,willizi01
31,Ja Morant,Memphis Grizzlies,$39446090,$42166510,$44886930,,,,$126499530,moranja01
32,Darius Garland,Cleveland Cavaliers,$39446090,$42166510,$44886930,,,,$126499530,garlada01
33,James Harden,Los Angeles Clippers,$39182693,$42317307,,,,,,hardeja01
34,Scottie Barnes,Toronto Raptors,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,barnesc01
35,Franz Wagner,Orlando Magic,$38661750,$41754690,$44847630,$47940570,$51033510,,$224238150,wagnefr01
36,Shai Gilgeous-Alexander,Oklahoma City Thunder,$38333050,$40806150,$61005000,$65885400,$70765800,$75646200,$276795400,gilgesh01
37,Michael Porter Jr.,Brooklyn Nets,$38333050,$40806150,,,,,$50333050,portemi01
38,Brandon Ingram,Toronto Raptors,$38095238,$40000000,$41904762,,,,$78095238,ingrabr01
39,Tyrese Maxey,Philadelphia 76ers,$37958760,$40770520,$43582280,$46394040,,,$168705600,maxeyty01
40,LaMelo Ball,Charlotte Hornets,$37958760,$40770520,$43582280,$46394040,,,$168705600,ballla01
41,De'Aaron Fox,San Antonio Spurs,$37096620,$49800000,$53784000,$57768000,$61752000,,$260200620,foxde01
42,Bam Adebayo,Miami Heat,$37096620,$49800000,$53784000,$57768000,,,$140680620,adebaba01
43,Desmond Bane,Orlando Magic,$36725670,$39446090,$42166510,$44886930,,,$163225200,banede01
44,Kyrie Irving,Dallas Mavericks,$36566002,$39491282,$42416562,,,,$76057284,irvinky01
45,Deandre Ayton,Los Angeles Lakers,$43654814,$8104000,,,,,$35550814,aytonde01
46,Jaren Jackson Jr.,Memphis Grizzlies,$35000000,$49000000,$50500000,$52000000,$53500000,,$186500000,jacksja02
47,Jalen Suggs,Orlando Magic,$35000000,$32400000,$29600000,$26800000,$26700000,,$123800000,suggsja01
48,Rudy Gobert,Minnesota Timberwolves,$35000000,$36500000,$38000000,,,,$71500000,goberru01
49,Jalen Brunson,New York Knicks,$34944001,$37739521,$40535041,$43330561,,,$113218563,brunsja01
50,Alperen Sengun,Houston Rockets,$33944954,$35642202,$37339450,$39036697,$39036697,,$145963303,sengual01
51,Jalen Green,Phoenix Suns,$33584499,$36251166,$36000000,,,,$69835665,greenja05
52,Khris Middleton,Washington Wizards,$33296296,,,,,,$33296296,middlkh01
53,Immanuel Quickley,Toronto Raptors,$32500000,$32500000,$32500000,$32500000,,,$130000000,quickim01
54,Jrue Holiday,Portland Trail Blazers,$32400000,$34800000,$37200000,,,,$67200000,holidjr01
55,Jerami Grant,Portland Trail Blazers,$32000001,$34206898,$36413790,,,,$66206899,grantje01
56,Jordan Poole,New Orleans Pelicans,$31848215,$34044642,,,,,$65892857,poolejo01
57,Tyler Herro,Miami Heat,$31000000,$33000000,,,,,$64000000,herroty01
58,Julius Randle,Minnesota Timberwolves,$30864198,$33333334,$35802468,,,,$64197532,randlju01
59,Dejounte Murray,New Orleans Pelicans,$30801103,$32785071,$30751504,,,,$63586174,murrade01
60,Kristaps Porzingis,Atlanta Hawks,$30731707,,,,,,$30731707,porzikr01
61,CJ McCollum,Atlanta Hawks,$30666666,,,,,,$30666666,mccolcj01
62,Jalen Johnson,Atlanta Hawks,$30000000,$30000000,$30000000,$30000000,$30000000,,$150000000,johnsja05
63,Isaiah Hartenstein,Oklahoma City Thunder,$28500000,$28500000,,,,,$28500000,harteis01
64,Andrew Wiggins,Miami Heat,$28223215,$30169644,,,,,$28223215,wiggian01
65,Derrick White,Boston Celtics,$28100000,$30348000,$32596000,$34844000,,,$91044000,whitede01
66,RJ Barrett,Toronto Raptors,$27705357,$29616071,,,,,$57321428,barrerj01
67,Anfernee Simons,Boston Celtics,$27678571,,,,,,$27678571,simonan01
68,Devin Vassell,San Antonio Spurs,$27000000,$27000000,$24652174,$27000000,,,$105652174,vassede01
69,Terry Rozier,Miami Heat,$26643031,,,,,,$26643031,roziete01
70,Tobias Harris,Detroit Pistons,$26634146,,,,,,$26634146,harrito02
71,John Collins,Los Angeles Clippers,$26580000,,,,,,$26580000,collijo01
72,Draymond Green,Golden State Warriors,$25892857,$27678571,,,,,$53571428,greendr01
73,Nicolas Claxton,Brooklyn Nets,$25352272,$23147727,$20943184,,,,$69443183,claxtni01
74,Myles Turner,Milwaukee Bucks,$25318251,$26584164,$27850077,$29115990,,,$79752492,turnemy01
75,Trey Murphy III,New Orleans Pelicans,$25000000,$27000000,$29000000,$31000000,,,$112000000,murphtr02
76,Josh Giddey,Chicago Bulls,$25000000,$25000000,$25000000,$25000000,,,$100000000,giddejo01
77,Miles Bridges,Charlotte Hornets,$25000000,$22826087,,,,,$47826087,bridgmi02
78,Fred VanVleet,Houston Rockets,$25000000,$25000000,,,,,$25000000,vanvlfr01
79,Mikal Bridges,New York Knicks,$24900000,$33482145,$36160714,$38839285,$41517856,,$133382144,bridgmi01
